bioma,mes,mean,std
Amazonia,April,14629.0,3945.5559811007624
Amazonia,August,818004.6666666666,458266.7166501767
Amazonia,December,70956.0,43632.290943749445
Amazonia,February,45173.0,64228.73388134006
Amazonia,January,31513.333333333332,25449.77729437594
Amazonia,July,175281.66666666666,107998.12634640165
Amazonia,June,85517.33333333333,11057.152315733621
Amazonia,March,34264.333333333336,42105.71721670744
Amazonia,May,46807.333333333336,10838.816648201655
Amazonia,November,325450.6666666667,107962.70455269881
Amazonia,October,439771.3333333333,106028.28724606153
Amazonia,September,960486.6666666666,395050.48937614716
Caatinga,April,3083.0,706.1253429809753
Caatinga,August,23001.333333333332,7732.146036730898
Caatinga,December,39805.0,16950.071002801138
Caatinga,February,4981.666666666667,560.5714346390951
Caatinga,January,11650.0,7665.952452239709
Caatinga,July,8951.666666666666,2784.0047294021133
Caatinga,June,5725.333333333333,1390.4978724663097
Caatinga,March,4005.3333333333335,984.2364214625129
Caatinga,May,3179.3333333333335,675.3460841178642
Caatinga,November,57091.666666666664,18008.43442205161
Caatinga,October,108494.0,26453.93575632934
Caatinga,September,66297.0,14145.647422440587
Cerrado,April,18328.333333333332,7629.312507253411
Cerrado,August,338159.0,227866.4106949508
Cerrado,December,37755.333333333336,22237.566735893866
Cerrado,February,10542.333333333334,979.5122936101072
Cerrado,January,14742.333333333334,6933.374382891301
Cerrado,July,134370.33333333334,15088.939304448584
Cerrado,June,103528.0,25858.559956037767
Cerrado,March,11885.0,2767.455871373562
Cerrado,May,64478.666666666664,8125.480314008111
Cerrado,November,83295.66666666667,36001.34978488075
Cerrado,October,325017.3333333333,70916.8282732197
Cerrado,September,552365.0,301762.9950391532
MataAtlantica,April,6971.0,1037.6651675757455
MataAtlantica,August,57460.0,54992.65348207886
MataAtlantica,December,10913.333333333334,7677.770270940212
MataAtlantica,February,7002.0,2060.1230545770804
MataAtlantica,January,10394.666666666666,5222.506135308347
MataAtlantica,July,17303.333333333332,5532.85245902449
MataAtlantica,June,13425.0,8529.691729482372
MataAtlantica,March,7595.0,717.0836771256197
MataAtlantica,May,11201.0,4068.347453205048
MataAtlantica,November,16503.0,8520.425400178092
MataAtlantica,October,29596.333333333332,13382.453150799121
MataAtlantica,September,63816.666666666664,60175.05343855819
Pampa,April,745.0,413.1113651305178
Pampa,August,1154.6666666666667,487.78513029133364
Pampa,December,629.3333333333334,663.1970546778185
Pampa,February,1590.0,1059.6560762813565
Pampa,January,2223.0,2224.131965509241
Pampa,July,502.3333333333333,416.25272771879025
Pampa,June,403.3333333333333,78.4495591659592
Pampa,March,771.3333333333334,380.32792867909836
Pampa,May,366.6666666666667,238.56305944830046
Pampa,November,535.6666666666666,405.9486831279704
Pampa,October,599.3333333333334,315.81693009294696
Pampa,September,605.0,437.23334731010624
Pantanal,April,2638.6666666666665,2918.9711086842453
Pantanal,August,59489.333333333336,99339.0247401963
Pantanal,December,18387.0,23023.71197265984
Pantanal,February,4307.666666666667,6526.619518045566
Pantanal,January,12715.666666666666,18927.191057664455
Pantanal,July,14737.666666666666,16795.607203472384
Pantanal,June,33602.666666666664,53629.609212946285
Pantanal,March,2997.6666666666665,3872.0886267405263
Pantanal,May,8202.666666666666,6635.390141757554
Pantanal,November,78847.66666666667,116693.19969189864
Pantanal,October,57329.666666666664,60361.308918323935
Pantanal,September,35902.0,48196.69885998418
